,topology,lr,clip,sigma,sigma-cor,T,accuracy
0,centralized,0.05,0.1,0.00017783706194713497,0,1000,0.6656
3,centralized,0.1,0.1,0.00017783706194713497,0,1000,0.7088
6,centralized,0.5,0.1,0.00017783706194713497,0,1000,0.854
1,centralized,0.05,1.0,0.0017783706194713501,0,1000,0.868
9,centralized,1.0,0.1,0.00017783706194713497,0,1000,0.8856
4,centralized,0.1,1.0,0.0017783706194713501,0,1000,0.8895
14,centralized,5.0,10.0,0.0177837061947135,0,1000,0.8946
12,centralized,5.0,0.1,0.00017783706194713497,0,1000,0.9112
7,centralized,0.5,1.0,0.0017783706194713501,0,1000,0.9122
2,centralized,0.05,10.0,0.0177837061947135,0,1000,0.9135
11,centralized,1.0,10.0,0.0177837061947135,0,1000,0.9185
10,centralized,1.0,1.0,0.0017783706194713501,0,1000,0.9218
5,centralized,0.1,10.0,0.0177837061947135,0,1000,0.9232
8,centralized,0.5,10.0,0.0177837061947135,0,1000,0.9309
13,centralized,5.0,1.0,0.0017783706194713501,0,1000,0.9337
