,topology,lr,clip,sigma,sigma-cor,T,accuracy
0,grid,0.05,0.1,0.0003020408163265,0.0006356713426853,1000,0.6655
3,grid,0.1,0.1,0.0003020408163265,0.0006356713426853,1000,0.7091
6,grid,0.5,0.1,0.0003020408163265,0.0006356713426853,1000,0.8537
1,grid,0.05,1.0,0.0030204081632653,0.0063567134268537,1000,0.8679
14,grid,5.0,10.0,0.030204081632653,0.063567134268537,1000,0.8849
9,grid,1.0,0.1,0.0003020408163265,0.0006356713426853,1000,0.8861
4,grid,0.1,1.0,0.0030204081632653,0.0063567134268537,1000,0.8899
11,grid,1.0,10.0,0.030204081632653,0.063567134268537,1000,0.9019
12,grid,5.0,0.1,0.0003020408163265,0.0006356713426853,1000,0.9104
7,grid,0.5,1.0,0.0030204081632653,0.0063567134268537,1000,0.9126
2,grid,0.05,10.0,0.030204081632653,0.063567134268537,1000,0.9127
8,grid,0.5,10.0,0.030204081632653,0.063567134268537,1000,0.9186
10,grid,1.0,1.0,0.0030204081632653,0.0063567134268537,1000,0.92
5,grid,0.1,10.0,0.030204081632653,0.063567134268537,1000,0.9215
13,grid,5.0,1.0,0.0030204081632653,0.0063567134268537,1000,0.9266
