Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.1076
5,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.715
10,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.7696
15,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.7925
20,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.8175
25,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.8334
30,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.8505
35,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.8543
40,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.8597
45,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.8664
50,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.8703
55,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.8756
60,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.8794
65,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.8796
70,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.8825
75,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.8848
80,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.8859
85,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.8879
90,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.8879
95,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.8898
100,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.8913
105,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.8908
110,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.8903
115,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.8929
120,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.8937
125,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.8938
130,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.8946
135,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.8955
140,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.8974
145,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.8976
150,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.896
155,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.8981
160,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.8991
165,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.8986
170,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.8994
175,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.8994
180,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.8987
185,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9007
190,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9012
195,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.901
200,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9005
205,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9006
210,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9008
215,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9025
220,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9028
225,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9029
230,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9024
235,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.904
240,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9045
245,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9042
250,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9044
255,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9046
260,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9046
265,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9045
270,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9049
275,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9064
280,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.907
285,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9073
290,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9068
295,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9057
300,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9067
305,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9074
310,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9077
315,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9079
320,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9077
325,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9089
330,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9086
335,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9086
340,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9089
345,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9093
350,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9088
355,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9085
360,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9093
365,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9095
370,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9101
375,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9087
380,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9104
385,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9109
390,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.909
395,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9098
400,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9108
405,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9104
410,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.911
415,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9105
420,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9105
425,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.911
430,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9108
435,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9115
440,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9125
445,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9117
450,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9119
455,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9122
460,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9125
465,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9115
470,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9131
475,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9125
480,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9128
485,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9131
490,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.914
495,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9129
500,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9125
505,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.913
510,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9129
515,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9137
520,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9146
525,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9141
530,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.914
535,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9134
540,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9141
545,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9132
550,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9145
555,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9133
560,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9141
565,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9143
570,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9133
575,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9133
580,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9136
585,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9141
590,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9141
595,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9141
600,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9141
605,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9137
610,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.914
615,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9147
620,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9145
625,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9145
630,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9146
635,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9147
640,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9146
645,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9138
650,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9142
655,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9157
660,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.915
665,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9153
670,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9148
675,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9151
680,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9162
685,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9155
690,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9163
695,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9153
700,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9156
705,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9156
710,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9163
715,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9161
720,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9159
725,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9161
730,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9171
735,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9156
740,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9166
745,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9173
750,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9157
755,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9167
760,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.916
765,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9169
770,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9167
775,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9176
780,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9171
785,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9174
790,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9165
795,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9168
800,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9177
805,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9178
810,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9177
815,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9173
820,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9173
825,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9176
830,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9174
835,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9176
840,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9177
845,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.918
850,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9175
855,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9193
860,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9181
865,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9189
870,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9181
875,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9184
880,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9185
885,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9191
890,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9187
895,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9187
900,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.919
905,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9182
910,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9188
915,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9184
920,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9193
925,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9187
930,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9185
935,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9186
940,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9192
945,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9196
950,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9194
955,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9194
960,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9199
965,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9198
970,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9197
975,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9196
980,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9197
985,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9194
990,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9193
995,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9193
1000,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9202
1005,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9204
1010,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9204
1015,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9203
1020,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.92
1025,centralized,cdp,1,1.0,0.0029373384282130786,0,0.5,0.9201
