,topology,lr,clip,sigma,sigma-cor,T,accuracy
0,centralized,0.05,0.1,0.0009675896232146264,0,1000,0.666
3,centralized,0.1,0.1,0.0009675896232146264,0,1000,0.7087
14,centralized,5.0,10.0,0.09675896232146267,0,1000,0.8377
11,centralized,1.0,10.0,0.09675896232146267,0,1000,0.8437
6,centralized,0.5,0.1,0.0009675896232146264,0,1000,0.8537
8,centralized,0.5,10.0,0.09675896232146267,0,1000,0.8546
13,centralized,5.0,1.0,0.009675896232146267,0,1000,0.8626
1,centralized,0.05,1.0,0.009675896232146267,0,1000,0.8671
9,centralized,1.0,0.1,0.0009675896232146264,0,1000,0.8841
4,centralized,0.1,1.0,0.009675896232146267,0,1000,0.8893
5,centralized,0.1,10.0,0.09675896232146267,0,1000,0.9043
12,centralized,5.0,0.1,0.0009675896232146264,0,1000,0.906
2,centralized,0.05,10.0,0.09675896232146267,0,1000,0.9076
7,centralized,0.5,1.0,0.009675896232146267,0,1000,0.9077
10,centralized,1.0,1.0,0.009675896232146267,0,1000,0.9089
